Job_Role,Company,Experience,Salary,Location,Key_Skills,Post_History,machine learning,python,data science,analytical,artificial intelligence,it skills,big data,data analysis
data analyst - marketing,Capco,3-6 Yrs,1300000 - 1800000 PA.,Bangalore,"investment banking,financial services,finance,data analysis,agile,data analytics,data governance,sql",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst,Titan Consultancy,2-5 Yrs,700000 - 1200000 PA.,Bangalore,"data validation,advance excel,business intelligence,power bi,ms office,data management,data analysis,data analyst",30+ Days Ago,0,0,0,0,0,0,0,1
lead clr data analyst,Target,7-12 Yrs,1700000 - 2700000 PA.,Bangalore,"data analysis,data management,compliance,business analytics,analytical,legal,risk management,business intelligence",15 Days Ago,0,0,0,1,0,0,0,1
lead business analyst - data science and advanced analytics,Vmware,4-7 Yrs,1200000 - 1700000 PA.,Bangalore,"vmware,data analysis,data migration,front end,prototype,tdd,analytical,wellness",15 Days Ago,0,0,0,1,0,0,0,1
data analyst,Vedantu Innovations,1-5 Yrs,"4,00,000 - 8,00,000 PA.",Bangalore,"advanced excel,dashboards,sql,coding,data analysis,programming,business analysis",22 Days Ago,0,0,0,0,0,0,0,1
"data analyst, 2",Epsilon,2-5 Yrs,600000 - 1300000 PA.,Bangalore,"computer science,economics,ms office tools,hypothesis testing,marketing operations,mathematics,data mining,statistics",30+ Days Ago,0,0,0,0,0,0,0,0
lead data analyst,Harman Connected Services Corporation India Pvt.,4-7 Yrs,1400000 - 1700000 PA.,Bangalore,"automation,due diligence,claims,manager quality assurance,hp data protector,staffing,data quality,ssis",30+ Days Ago,0,0,0,0,0,0,0,0
lead data analyst,Harman Connected Services Corporation India Pvt.,4-7 Yrs,1400000 - 1700000 PA.,Bangalore,"automation,due diligence,claims,manager quality assurance,hp data protector,staffing,data quality,ssis",30+ Days Ago,0,0,0,0,0,0,0,0
it risk data analyst-1,Epsilon,5-8 Yrs,1300000 - 1700000 PA.,Bangalore,"data analysis,manager quality assurance,data management,technical writing,mis,consulting,risk analysis,risk management",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst,Otis,3-5 Yrs,800000 - 900000 PA.,Bengaluru,"erp,automation,business objects,soa,sas,xml,workflow,oracle",30+ Days Ago,0,0,0,0,0,0,0,0
business data analyst,AARNA HR SOLUTIONS PVT. LTD.,3-6 Yrs,1400000 - 1900000 PA.,Bengaluru,"erp,sap,sas,business data analyst,xml,spss,oracle,data mining",30+ Days Ago,0,0,0,0,0,0,0,0
data modeller & data analyst,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,3-8 Yrs,1300000 - 1900000 PA.,"Hyderabad, Chennai, Bangalore","it skills,project management,bpo,project management,data analyst,data modeller",19 Days Ago,0,0,0,0,0,1,0,0
data analyst - platform & security,Hotstar,2-6 Yrs,600000 - 1200000 PA.,Bangalore,"computer science,tableau,business reporting,legal compliance,network security,data analytics,risk management,operations",19 Days Ago,0,0,0,0,0,0,0,0
"data analyst, impact measurement and management",Upaya Social Ventures,1-3 Yrs,800000 - 1100000 PA.,Bangalore,"data management,business analytics,director,data quality,management,ms office,portfolio management,information technology",19 Days Ago,0,0,0,0,0,0,0,0
data analyst,Nurture.Retail ,2-3 Yrs,700000 - 1300000 PA.,Bangalore,"sql,python",19 Days Ago,0,1,0,0,0,0,0,0
data analyst,CUREFIT HEALTHCARE PRIVATE LIMITED.,1-4 Yrs,"3,00,000 - 6,00,000 PA.",Bangalore,"data analysis,advanced excel,sql,analytical skill,business analysis",19 Days Ago,0,0,0,1,0,0,0,1
data modeller & data analyst,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,3-8 Yrs,1300000 - 1800000 PA.,"Hyderabad, Chennai, Bangalore","data analyst,data modeller",19 Days Ago,0,0,0,0,0,0,0,0
data analyst,DocsApp,2-6 Yrs,"2,00,000 - 6,00,000 PA.",Bangalore(Jayanagar +3),"lookup,data management,data interpretation,data analysis,access,advanced excel,mis,facebook",20 Days Ago,0,0,0,0,0,0,0,1
data analyst,SWIRE DIGITAL CENTRE PRIVATE LIMITED ,4-6 Yrs,1300000 - 1800000 PA.,Bangalore(WFH during Covid),"it skills,cloud,oracle,aws,tableau,power bi,amazon redshift,mysql",30+ Days Ago,0,0,0,0,0,1,0,0
data analyst,Borderless Access,1-4 Yrs,600000 - 1000000 PA.,Bengaluru,"excel,technical writing,data analyst,spss,research,analytics,python",30+ Days Ago,0,1,0,0,0,0,0,0
data analyst,Multi Recruit,2-4 Yrs,600000 - 1000000 PA.,Bangalore,"bpo,business intelligence,customer service,excel,finance,client servicing,business development,data modeling",30+ Days Ago,0,0,0,0,0,0,0,0
data analyst,Multi Recruit,3-7 Yrs,1100000 - 1700000 PA.,Bangalore,"bpo,power bi developer,business intelligence,customer service,excel,e - commerce,digital marketing,sql",30+ Days Ago,0,0,0,0,0,0,0,0
data analyst,Rehoboth Academic Services,2-7 Yrs,600000 - 1100000 PA.,Bengaluru,"excel,report writing,content writing,sem,data analyst,ms office,statistics",30+ Days Ago,0,0,0,0,0,0,0,0
data analyst,Magenta Power Pvt Ltd,3-5 Yrs,600000 - 1400000 PA.,Bangalore,"secondary data,sas,database design development,business data analyst,data collection systems,data mining,process improvement,information management",30+ Days Ago,0,0,0,0,0,0,0,0
data analyst ii ,Cerner,6-10 Yrs,2000000 - 2700000 PA.,Bangalore,"data analysis,sas,consulting,data analyst,analyst ii,business intelligence,data mining,sql",21 Days Ago,0,0,0,0,0,0,0,1
data analyst rk,HUSYS CONSULTING LIMITED,4-6 Yrs,1100000 - 1900000 PA.,Bengaluru,"mis reporting,data analysis,ms access,standardization,macros,sql,data extraction,complex",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst,Siemens Gamesa Renewable Energy,2-3 Yrs,700000 - 1300000 PA.,Bangalore,"data analysis,excel,financial reporting,vba,coding,it skills,process expert,siemens",30+ Days Ago,0,0,0,0,0,1,0,1
statistician/data analyst,Authenu,2-7 Yrs,600000 - 1000000 PA.,Bengaluru,"communication,usage,email,data collection,data analyst,problem,subject matter expert,research",30+ Days Ago,0,0,0,0,0,0,0,0
asst. manager data analyst systems strategies,Deejay Farm.,5-8 Yrs,1200000 - 1800000 PA.,Bangalore,"mis reporting,data analysis,manager internal audit,inventory management,data analyst,management,inventory",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst,NovoTree Minds Consulting Pvt. Ltd.,2-5 Yrs,800000 - 1400000 PA.,Bangalore,"communication,sql,data analysis,it skills,project management,bpo,project management,business intelligence analyst",30+ Days Ago,0,0,0,0,0,1,0,1
teksystems is hiring for data analysts,Allegis Services India Pvt. Ltd.      ,1-3 Yrs,800000 - 900000 PA.,Bangalore(WFH during Covid),"pyspark api,sql queries,communication,agile,r,pyspark,python,it skills",23 Days Ago,0,1,0,0,0,1,0,0
"success operations , data analyst",Sense Talent Labs,2-7 Yrs,700000 - 1000000 PA.,Bangalore,"usage,operations analyst,operational support,analytical,focus,data quality,account management,individual contributor",22 Days Ago,0,0,0,1,0,0,0,0
teksystems is hiring for data analysts,Allegis Services India Pvt. Ltd.      ,1-3 Yrs,600000 - 1400000 PA.,Bangalore(WFH during Covid),"python,communication,pyspark,r,agile,pyspark api,sql queries,it skills",23 Days Ago,0,1,0,0,0,1,0,0
data analyst,Q-DAT IT SOLUTIONS PVT. LTD.,2-5 Yrs,700000 - 1400000 PA.,Bengaluru,"verbal communication,advance excel,written,excel,ms office,advanced,analytical,data analyst",30+ Days Ago,0,0,0,1,0,0,0,0
data analyst,Nurture.Retail ,1-3 Yrs,800000 - 1100000 PA.,Bangalore,"data analysis,sql",23 Days Ago,0,0,0,0,0,0,0,1
data analyst,Ensar Solutions Pvt Ltd,3-7 Yrs,"8,00,000 - 15,00,000 PA.","Hyderabad, Chennai, Bangalore(WFH during Covid)","report generation,mysql,jupyter,sql server,jupyter notebook,data analysis,power bi,oracle",23 Days Ago,0,0,0,0,0,0,0,1
data science analyst,Perfect Day,5-7 Yrs,1300000 - 1900000 PA.,Bangalore,"data science,biotechnology,r,data bases,advanced analytics,data analysis,data analytics,python",30+ Days Ago,0,1,1,0,0,0,0,1
data analyst - i,jupiter,1-5 Yrs,600000 - 900000 PA.,Bangalore,"data science,risk analytics,data analysis,data analyst,tableau,marketing analytics,sql queries,consumer insights",30+ Days Ago,0,0,1,0,0,0,0,1
data analyst - i,Jupiter.money,1-4 Yrs,800000 - 900000 PA.,Bangalore,"data science,risk analytics,data analysis,product analytics,data analyst,tableau,marketing analytics,sql",30+ Days Ago,0,0,1,0,0,0,0,1
clinical data analyst,Manipal Acunova Ltd.,3-8 Yrs,1200000 - 1800000 PA.,"Chennai, Bangalore","life sciences,biostatistician,clinical research,sas macros,efficacy,data analyst,clinical development",30+ Days Ago,0,0,0,0,0,0,0,0
mis / data analyst,MediBuddy,1-3 Yrs,700000 - 1000000 PA.,Bangalore,"mis executive,mis reports,good communication,healthcare,general medicine,medical,ms excel,weight",30+ Days Ago,0,0,0,0,0,0,0,0
deep learning programmer,Inavan India Technologies Pvt Ltd,2-6 Yrs,600000 - 1300000 PA.,Kerala,"c++,java,r,unix,python,analytical,it skills,analytical skills",30+ Days Ago,0,1,0,1,0,1,0,0
opportunity for the position of data analyst,Ampersand Group,4-8 Yrs,1100000 - 1800000 PA.,Gurgaon,"mis,data analysis,advanced excel",1 Day Ago,0,0,0,0,0,0,0,1
data analyst,Myntra,1-3 Yrs,600000 - 900000 PA.,Bengaluru,"supply chain,process orientation,conceptualization,market research,data analyst,data visualization,stakeholder management,monitoring",30+ Days Ago,0,0,0,0,0,0,0,0
associate data analyst,Optum,4-9 Yrs,1200000 - 1900000 PA.,Bangalore,"data modelling,relational database design,data analysis,it skills,software development,testing,oracle,ms sql",26 Days Ago,0,0,0,0,0,1,0,1
data analyst,V-Align Technologies,1-2 Yrs,700000 - 1200000 PA.,Bengaluru,"data analysis,data analyst,statistics",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst - edtech,TalentStack,2-6 Yrs,700000 - 1200000 PA.,Bangalore,"data analytics,data analyst,analytics,sql,python",30+ Days Ago,0,1,0,0,0,0,0,0
data analyst,Torry Harris Business Solutions,1-4 Yrs,600000 - 900000 PA.,Bangalore,"master data management,data analysis,data collection,data analyst",26 Days Ago,0,0,0,0,0,0,0,1
data analyst - it,Xpheno,8-13 Yrs,1600000 - 2500000 PA.,Bangalore,"computer science,performance tuning,orchestration,powershell,data analyst,apache,analytics,sql",26 Days Ago,0,0,0,0,0,0,0,0
data analyst 1 ( auto ),Acko,1-4 Yrs,600000 - 1400000 PA.,Bangalore,"claims,data analyst,analyst 1,ios,analyst 3,room,principal",26 Days Ago,0,0,0,0,0,0,0,0
data analyst,KPMG,1-3 Yrs,800000 - 900000 PA.,Bangalore,"etl,sql queries",30+ Days Ago,0,0,0,0,0,0,0,0
lead data analyst,MediaMath,8-13 Yrs,1800000 - 2700000 PA.,Bangalore,"predictive modeling,data science,digital media,data analysis,statistical modeling,data analyst,analytics,python",30+ Days Ago,0,1,1,0,0,0,0,1
"data analyst , product",MediaMath,4-9 Yrs,1100000 - 1700000 PA.,Bangalore,"data science,predictive modeling,digital media,data analysis,statistical modeling,data analyst,analytics,python",30+ Days Ago,0,1,1,0,0,0,0,1
data analyst,AARNA HR SOLUTIONS PVT. LTD.,3-7 Yrs,1300000 - 1800000 PA.,Bengaluru,"automation,rdbms,plsql,data analyst,qlikview,macros,business executive,analytics",30+ Days Ago,0,0,0,0,0,0,0,0
perfect day - hrmis data analyst,Perfect Day,1-7 Yrs,700000 - 1200000 PA.,Bangalore,"procurement,application support,data management,analytical,data analyst,hr,troubleshooting,business intelligence",27 Days Ago,0,0,0,1,0,0,0,0
data analyst,Glance IT Solution,1-4 Yrs,600000 - 1100000 PA.,Bangalore,"procurement,supply chain,market analysis,data analysis,analytical,data mining,gaming,analytics",27 Days Ago,0,0,0,1,0,0,0,1
data analyst - i,CommerceIQ,1-4 Yrs,600000 - 1400000 PA.,Bangalore,"data analysis,data management,coding,analytical,consulting,healthcare,data analyst,customer service",27 Days Ago,0,0,0,1,0,0,0,1
data analyst - ii,CommerceIQ,3-6 Yrs,1200000 - 1800000 PA.,Bangalore,"data analysis,data management,sales operations,coding,analytical,consulting,healthcare,customer service",27 Days Ago,0,0,0,1,0,0,0,1
data analyst 3 ( health ),Acko,4-6 Yrs,1100000 - 1800000 PA.,Bangalore,"r,business analytics,written communication,data analysis,e - commerce,data analyst,tableau,ms excel",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst ,Resilinc,2-5 Yrs,600000 - 1000000 PA.,Pune,"supply chain,ms office suite,analyst,analytical,social media,issue resolution,content writing,data analyst",1 Day Ago,0,0,0,1,0,0,0,0
urgent requirement for data analyst-data processing in iresearch !!!,Intellectual Research services Private limited,1-6 Yrs,"4,00,000 - 7,50,000 PA.",Pune(Kalyani Nagar),"hlookup,charts,data analysis,business analyst,iom,ibm spss,vlookup,data analyst",1 Day Ago,0,0,0,0,0,0,0,1
hiring mis/data analyst,NIIT,3-8 Yrs,"2,00,000 - 4,50,000 PA.","Noida, New Delhi, Faridabad, Gurgaon, Delhi / NCR(WFH during Covid)","advanced excel,mis executive,business analyst,power bi,mis,data management,vba expert,data analysis",1 Day Ago,0,0,0,0,0,0,0,1
"data analyst , territory operations",Twilio,2-6 Yrs,800000 - 1100000 PA.,Bangalore,"business process,data management,sales operations,hoovers,healthcare,data analyst,data quality,analytics",28 Days Ago,0,0,0,0,0,0,0,0
data analyst,"Glassbeam, Inc",1-3 Yrs,600000 - 1100000 PA.,Bengaluru,"data analysis,data analyst",30+ Days Ago,0,0,0,0,0,0,0,1
data analyst,Klub,1-4 Yrs,600000 - 1300000 PA.,Bangalore,"data science,sas,database design development,business data analyst,etl frameworks,data mining,process improvement,data collection",30+ Days Ago,0,0,1,0,0,0,0,0
business and data analyst - alphonso,Alphonso Inc.,2-5 Yrs,700000 - 1000000 PA.,Bengaluru,"analytical,ad operations,data analyst,account management,campaigns,management,advertising,digital advertising",30+ Days Ago,0,0,0,1,0,0,0,0
data analyst,Equifax Credit Information Services Pvt Ltd,4-5 Yrs,1100000 - 1700000 PA.,Bangalore,"unix linux,project management,data analysis,analytical,quantitative,project management skills,msc,sas programming",30+ Days Ago,0,0,0,1,0,0,0,1
mis / data analyst,DocsApp,1-3 Yrs,700000 - 1400000 PA.,Bangalore,"iso,dermatology,analytical,healthcare,wellness,customer experience,psychiatry,analytics",30+ Days Ago,0,0,0,1,0,0,0,0
data analyst,Franklin Templeton,2-6 Yrs,600000 - 1400000 PA.,Mumbai,"data analysis,usage,metadata,operational excellence,data management,data quality,medical insurance,analytics",1 Day Ago,0,0,0,0,0,0,0,1
lead data analyst,Franklin Templeton,4-8 Yrs,1300000 - 1800000 PA.,Hyderabad,"data cleansing,data analysis,operational excellence,data management,data quality,sales process,analytics,investment",1 Day Ago,0,0,0,0,0,0,0,1
data analyst,roboticwares pvt ltd,2-5 Yrs,700000 - 1400000 PA.,Noida,"data analysis,oracle,sas,sql server,matlab,sql,xml,statistical modeling",1 Day Ago,0,0,0,0,0,0,0,1
data analyst,Appon Software Private limited,2-7 Yrs,600000 - 1300000 PA.,Pune(Viman Nagar),"data analysis,analytical skills,r programming,data analyst,analyst2,gaming,performance monitoring,statistical analysis",1 Day Ago,0,0,0,1,0,0,0,1
data analyst,Menko Online Trading India Pvt Ltd,2-5 Yrs,"2,75,000 - 6,00,000 PA.",Gurgaon,"data analysis,advanced excel,mis reporting,vba coding,google analytics,vba automation,data management,ecommerce",1 Day Ago,0,0,0,0,0,0,0,1
data analyst,Encora,5-8 Yrs,1100000 - 1800000 PA.,Bangalore,"it skills,project management,bpo,project management,system development,design development,data migration,fsd",29 Days Ago,0,0,0,0,0,1,0,0
data analyst,Encora,3-7 Yrs,1300000 - 1700000 PA.,Bangalore,"application software,word,excel,scanning,spreadsheets,document control,access,data analysis",29 Days Ago,0,0,0,0,0,0,0,1
data analyst,Myntra,1-3 Yrs,800000 - 900000 PA.,Bangalore,"data analysis,interpersonal skills,excel,revenue planning,data analyst,revenue management,management,analytics",29 Days Ago,0,0,0,0,0,0,0,1
lead collections data analyst,ZEROFOX INDIA PRIVATE LIMITED ,5-8 Yrs,1400000 - 1700000 PA.,Bangalore,"it skills,python,javascript,big data,automation,cyber security,parsing,data threats",29 Days Ago,0,1,0,0,0,1,1,0
hiring experienced data analysts (2-5 yrs) at 10 lpa,SounderGrad,2-5 Yrs,"10,00,000 PA.",Bangalore,"data analytics,r,stat,power bi,classification,data analysis,data visualization,dax",29 Days Ago,0,0,0,0,0,0,0,1
data analyst,South Star Software Pvt Ltd,2-5 Yrs,"2,00,000 - 3,00,000 PA.","Navi Mumbai, Mumbai (All Areas)","it skills,ms sql,communication skills,customer support,customer service,data quality,excel,written communication",3 Days Ago,0,0,0,0,0,1,0,0
data analyst,AISpotters,3-6 Yrs,1400000 - 1900000 PA.,Madurai,"it skills,artificial intelligence,bpo,training,mobile technology,data analysis,interpersonal skills,toefl",30+ Days Ago,0,0,0,0,1,1,0,1
data analyst,Optum,4-9 Yrs,1300000 - 1800000 PA.,Gurgaon,"c#,java,visual basic,it skills,big data,ssrs,advanced excel,tableau",2 Days Ago,0,0,0,0,0,1,1,0
data analyst,Optum,4-9 Yrs,1200000 - 1800000 PA.,Gurgaon,"c#,java,data visualization,it skills,big data,oracle pl/sql,sas,cloud platforms",2 Days Ago,0,0,0,0,0,1,1,0
lead-data analyst,InnovAccer,6-11 Yrs,1700000 - 2600000 PA.,Noida,"computer science,san,nosql,pdf,data modeling,artificial intelligence,javascript,healthcare",30+ Days Ago,0,0,0,0,1,0,0,0
hiring for data analysts / supply chain analysts / technology analysts,Futurestep Recruitment Services Private Limited  ,0-3 Yrs,"6,50,000 - 10,00,000 PA.",Gurgaon(WFH during Covid),"python,data analysis,power bi,data science,power interface unit,data modeling,supply chain,advanced excel",18 Days Ago,0,1,1,0,0,0,0,1
data analyst,HR CENTRAL ,0-2 Yrs,400000 - 700000 PA.,Mumbai,"data analysis,content management,journalism,blog writing,content writing",22 Days Ago,0,0,0,0,0,0,0,1
data analyst,SKILLLABS RESOURCE SERVICES Pvt Ltd,0-2 Yrs,500000 - 600000 PA.,Mohali,"mis,data analysis,data collection,data analyst",27 Days Ago,0,0,0,0,0,0,0,1
data science nlp analyst,Prodigal,1-4 Yrs,700000 - 900000 PA.,Mumbai,"data science,ai / ml,nlp,algorithms,financial services,data manipulation,artificial intelligence,natural language processing",30+ Days Ago,0,0,1,0,1,0,0,0
sr. data analyst,Optico Solutions Pvt. Ltd.,4-9 Yrs,1100000 - 1800000 PA.,"Pune, Bangalore","fhir,rxnorm,omop,sql server,data analysis,snomed,postgresql,umls",1 Day Ago,0,0,0,0,0,0,0,1
sr. data analyst,Optico Solutions Pvt. Ltd.,6-9 Yrs,1100000 - 1800000 PA.,"Hyderabad, Bangalore","data analysis,emr,sql",1 Day Ago,0,0,0,0,0,0,0,1
senior data analyst,Poshmark,2-5 Yrs,600000 - 900000 PA.,Chennai,"data analysis,interpersonal skills,senior data analyst,data collection,hypothesis testing,data visualization,powerpoint,analytics",30+ Days Ago,0,0,0,0,0,0,0,1
senior data analyst,Poshmark,2-5 Yrs,800000 - 1400000 PA.,Pune,"data analysis,interpersonal skills,senior data analyst,data collection,hypothesis testing,data visualization,powerpoint,analytics",30+ Days Ago,0,0,0,0,0,0,0,1
senior data analyst,Dun & Bradstreet,2-4 Yrs,700000 - 1100000 PA.,Hyderabad,"requirement analysis,data analysis,metadata,cloud,data structures,dnb,data analyst,management",30+ Days Ago,0,0,0,0,0,0,0,1
"senior data analyst, dmat (data management and analytics tools)",Poshmark,2-5 Yrs,800000 - 1200000 PA.,Pune,"spark sql,senior data analyst,data management,data analysis,time series,e - commerce,analytics,business analysis",30+ Days Ago,0,0,0,0,0,0,0,1
"senior data analyst, dmat (data management and analytics tools)",Poshmark,3-5 Yrs,800000 - 1300000 PA.,Chennai,"communication skills,data management,big data,ecommerce,data analyst,tableau,analytics,python",30+ Days Ago,0,1,0,0,0,0,1,0
sr. data analyst - business insights,JioSaavn,3-8 Yrs,1400000 - 1700000 PA.,Mumbai,"computer science,data analysis,pdf,process improvement,analytical,data visualization,microsoft,product marketing",30+ Days Ago,0,0,0,1,0,0,0,1
sr . data analyst - business insights,"Saavn, LLC",2-5 Yrs,600000 - 1300000 PA.,Mumbai,"data science,r,data analysis,data visualization,advanced excel,data analyst,data analytics,statistics",30+ Days Ago,0,0,1,0,0,0,0,1
principal engineer metadata engineering and management,Sling Media Private Limited,10-18 Yrs,1900000 - 2600000 PA.,Bangalore,"golang,aws,redis,it skills,java,devops,rest,web services",19 Days Ago,0,0,0,0,0,1,0,0
developers data analyst,AgreeYa,3-5 Yrs,600000 - 1100000 PA.,Noida,"machine learning,software development life,waterfall,pl / sql,join,data analysis,customer analytics,communication",30+ Days Ago,1,0,0,0,0,0,0,1
data analyst (tableau developer) bangalore,Talent  Corner HR Services Pvt Ltd,2-7 Yrs,"5,00,000 - 10,00,000 PA.",Bangalore,"tableau developer,data analyst,tableau,bangalore,powerbi,data analysis,sql",8 Days Ago,0,0,0,0,0,0,0,1
data analyst developer,Prolifics,2-5 Yrs,700000 - 1000000 PA.,"Hyderabad, Pune","data modeling,cognos,social media,analytical,scala,healthcare,data analyst,analytics",30+ Days Ago,0,0,0,1,0,0,0,0
"hiring!! clinical data analyst internship, bmi applications",ENTERSTELLAR SOFTWARES (OPC) PRIVATE LIMITED ,2-7 Yrs,800000 - 1100000 PA.,Chennai,"python,it skills,bmi application,computer science,clinical data analyst,bci,mathematics,clinical data management",12 Days Ago,0,1,0,0,0,1,0,0
data analyst - vba developer,Benori Knowledge Solutions ,2-5 Yrs,"5,00,000 - 8,00,000 PA.",Gurgaon,"vba,advanced excel,macros",16 Days Ago,0,0,0,0,0,0,0,0
power bi/ sql tableau developer/data analyst,Busisol Sourcing India Pvt Ltd,6-8 Yrs,1200000 - 1700000 PA.,Hospet/Hosapete,"ms sql,production support,rdbms,business analysis,xml,ssrs,stored procedures,ssis",30+ Days Ago,0,0,0,0,0,0,0,0
data scientist - nlp/python/spark,TalPro,3-8 Yrs,1200000 - 1900000 PA.,"Kolkata, Mumbai, Hyderabad, Pune, Gurgaon, Chennai, Bangalore","nlp,spark,python,natural language processing,natural language generation,predictive analytics,data mining,tableau",30+ Days Ago,0,1,0,0,0,0,0,0
data scientist - nlp/hadoop,TalPro,1-6 Yrs,600000 - 1200000 PA.,"Mumbai, Hyderabad, Gurgaon, Bangalore","nlp,hadoop,sentiment analysis,natural language generation,hadoop ecosystem,tableau,entity extraction,data mining",30+ Days Ago,0,0,0,0,0,0,0,0
data engineer - python/scala,TalPro,1-6 Yrs,700000 - 1000000 PA.,"Mumbai, Hyderabad, Gurgaon, Bangalore","scala,pyspark,python,hive,it consulting,rdbms,hadoop,data analytics",30+ Days Ago,0,1,0,0,0,0,0,0
data engineering,ERM Placement Services (P) Ltd. ,6-11 Yrs,"14,00,000 - 22,50,000 PA.","Kolkata, Bangalore, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)","data engineering,it skills,python,machine learning,cloud,big data,jenkins,aws",30+ Days Ago,1,1,0,0,0,1,1,0
data engineer - python/scala,TalPro,1-6 Yrs,600000 - 1300000 PA.,"Mumbai, Hyderabad, Gurgaon, Bangalore","nlp,scala,python,hive,it consulting,rdbms,pyspark,hadoop",30+ Days Ago,0,1,0,0,0,0,0,0
data scientist - nlp/hadoop,TalPro,1-6 Yrs,600000 - 1300000 PA.,"Mumbai, Hyderabad, Gurgaon, Bangalore","nlp,hadoop,python,learning,tableau,data mining,spark,sentiment analysis",30+ Days Ago,0,1,0,0,0,0,0,0
data engineering lead,Bigshyft Hiring for PayU Finance,4-9 Yrs,1300000 - 1700000 PA.,"Mumbai, Gurgaon, Bangalore","django,data mining,spark,aws,python",23 Days Ago,0,1,0,0,0,0,0,0
fraud data scientist,Bigshyft Hiring for PayU Finance,2-7 Yrs,700000 - 1100000 PA.,"Mumbai, Gurgaon, Bangalore","spark,svm,python,predictive analytics,sql",23 Days Ago,0,1,0,0,0,0,0,0
data scientist (freelance),2Coms,2-7 Yrs,"2,50,000 - 7,50,000 PA.","Indore, Indore","it skills,java,python,machine learning,javascript,data scientist",2 Days Ago,1,1,0,0,0,1,0,0
data engineer - game analytics,Playdawn  ,4-8 Yrs,1200000 - 1900000 PA.,Bangalore(WFH during Covid),"hadoop,big data,etl,machine learning,hdfs,business intelligence,oozie,linux",30+ Days Ago,1,0,0,0,0,0,1,0
data engineer - associate manager,Dreamz Consultants,8-11 Yrs,1600000 - 2700000 PA.,"Noida, Pune, Bangalore","it skills,software development,cloud,oracle,aws,tableau,power bi,azure data factory",20 Days Ago,0,0,0,0,0,1,0,0
opportunity for cloud data engineer for product base,Athena Consultancy Services,2-7 Yrs,800000 - 1200000 PA.,"Bangalore, Delhi / NCR","it skills,python,data science,machine learning,cloud,aws,azure,snowflake",30+ Days Ago,1,1,1,0,0,1,0,0
data engineer - etl and gcp - 5-10 years,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,5-10 Yrs,1700000 - 2800000 PA.,"Pune, Gurgaon, Bangalore, Mumbai (All Areas)","gcp,etl,python,it skills,java,testing,cloud,big data",30+ Days Ago,0,1,0,0,0,1,1,0
principal data scientist (big data) – spark/ hadoop,Hire Resources,5-10 Yrs,1800000 - 2800000 PA.,Bangalore,"hadoop,spark,it skills,python,machine learning,big data,pytorch,azure",28 Days Ago,1,1,0,0,0,1,1,0
data engineer,Futurestep Recruitment Services Private Limited  ,7-12 Yrs,"32,50,000 - 47,50,000 PA.",Bangalore,"azure data factory,java,data engineering,scala,azure databricks,spark,etl,python",30+ Days Ago,0,1,0,0,0,0,0,0
aws data engineer - python/sql,Serving Skill,7-12 Yrs,2000000 - 2500000 PA.,Bangalore,"aws,python,sql,it skills,machine learning,cloud,datalake,nosql",30+ Days Ago,1,1,0,0,0,1,0,0
aws data engineer with python,Recruise India Consulting Pvt. Ltd. ,5-10 Yrs,"10,00,000 - 20,00,000 PA.",Bangalore,"js programming,aws services,machine learning lifecycles,api architecture,iam,analytics,lambda,python",30+ Days Ago,1,1,0,0,0,0,0,0
urgent hiring for big data engineer for gurgaon & bangalore location,CLARITY CONSULTING ,10-15 Yrs,1900000 - 2600000 PA.,"Gurgaon, Bangalore(WFH during Covid)","hive,sqoop,hadoop,scala,kafka,big data,spark,oozie",30+ Days Ago,0,0,0,0,0,0,1,0
urgent hiring for big data engineer for gurgaon & bangalore location,CLARITY CONSULTING ,6-9 Yrs,1300000 - 1800000 PA.,"Gurgaon, Bangalore(WFH during Covid)","kafka,etl,azure,storm,data management,oozie,sqoop,hdfs",30+ Days Ago,0,0,0,0,0,0,0,0
data scientist,Arminus Software Pvt. Ltd,2-7 Yrs,600000 - 1200000 PA.,Trivandrum/Thiruvananthapuram,"it skills,java,python,machine learning,javascript,computer science,c++,automation",30+ Days Ago,1,1,0,0,0,1,0,0
data engineer,FUTURES AND CAREERS,7-11 Yrs,2000000 - 2800000 PA.,Bangalore,"data science,data quality,data engineering,relational databases,big data,qa automation",26 Days Ago,0,0,1,0,0,0,1,0
data engineer role for a leading automobile company,SKILLVENTORY,5-8 Yrs,1200000 - 1900000 PA.,"Gurgaon, Bangalore","java,performance metrics,operational efficiency,scalability,scala,big data,data extraction,data analytics",28 Days Ago,0,0,0,0,0,0,1,0
