Job_Role,Company,Experience,Salary,Location,Key_Skills,Post_History,machine learning,python,data science,analytical,artificial intelligence,it skills,big data,data analysis
python developer - machine learning,Axcess Consultancy Services,5-7 Yrs,1400000 - 1700000 PA.,"Kolkata, Hyderabad, Chennai, Bangalore, Karnataka, Delhi NCR","programming language,databricks,communication skills,hipaa,azure,azure cognitive services,microsoft azure,devops",1 Day Ago,0,0,0,0,0,0,0,0
artificial intelligence developer - nlp/machine learning,Confidential,3-5 Yrs,700000 - 1400000 PA.,Bangalore,"stanford core,artificial intelligence,natural language processing,deep learning,predictive analytics,computer vision,nltk,nlp",3 Days Ago,0,0,0,0,1,0,0,0
python developer - flask/machine learning,Carbynetech India,1-3 Yrs,800000 - 1300000 PA.,Hyderabad,"git,design patterns,machine learning,python,flask",5 Days Ago,1,1,0,0,0,0,0,0
engineering manager - machine learning platform,Prime Infosoft,12-16 Yrs,1600000 - 2500000 PA.,Chennai,"java,machine learning,python,javascript,golang,it skills,open source,design patterns",Today,1,1,0,0,0,1,0,0
machine learning engineer  - deep learning startup,Connexions,1-2 Yrs,600000 - 900000 PA.,Bangalore,"java,machine learning,python,linux,c++,algorithm design,data structures,tensorflow",5 Days Ago,1,1,0,0,0,0,0,0
machine learning ops engineer,BCFORWARD INDIA TECHNOLOGIES PRIVATE LIMITED      ,5-10 Yrs,"8,00,000 - 18,00,000 PA.","Hyderabad, Bangalore(WFH during Covid)","it skills,python,quality assurance,data science,machine learning,cloud,big data,deep learning",6 Days Ago,1,1,1,0,0,1,1,0
machine learning engineer - computer vision,Best Infosystems Ltd,5-10 Yrs,1600000 - 2700000 PA.,Chennai,"java,c,opencv,image processing,eclipse,simulink,computer vision,machine learning",2 Days Ago,1,0,0,0,0,0,0,0
speech scientist - artificial intelligence/ machine learning,Career Maker,3-8 Yrs,1100000 - 1700000 PA.,Bangalore,"artificial intelligence,machine learning,python,it skills,java,data science,biometrics,speech recognition",5 Days Ago,1,1,1,0,1,1,0,0
machine learning engineer,Quantiphi Analytics Solutions Pvt. Ltd.,2-5 Yrs,600000 - 900000 PA.,"Mumbai, Bangalore, Trivandrum/Thiruvananthapuram","tensorflow,python,graph neural,c,deep learning,ml,spark,cuda",9 Days Ago,0,1,0,0,0,0,0,0
machine learning engineer,Tookitaki Holding PTE LTD,1-3 Yrs,700000 - 1300000 PA.,Bangalore,"it skills,machine learning,cloud,big data,deep learning,architecture,big data analytics,spark",13 Days Ago,1,0,0,0,0,1,1,0
staff software engineer (machine learning/operations research),Walmart,3-7 Yrs,1100000 - 1700000 PA.,Bangalore,"computer science,deep learning,operations research,network optimization,machine learning,distribution system,analytics,monitoring",13 Days Ago,1,0,0,0,0,0,0,0
research scientist - machine learning/ artificial intelligence,Career Maker,5-10 Yrs,1900000 - 2500000 PA.,Bangalore,"python,data structures,speech recognition,signal processing,algorithmic,artificial intelligence,java,c++",13 Days Ago,0,1,0,0,1,0,0,0
"sr. machine learning engineer, smai",Micron Tech,3-8 Yrs,1400000 - 1900000 PA.,Hyderabad,"machine learning,pytorch,tensorflow,continuous integration,scikit-learn,mssql,jenkins,azure",4 Days Ago,1,0,0,0,0,0,0,0
senior machine learning engineer,Arbolus Technologies,3-5 Yrs,600000 - 1400000 PA.,Gurgaon,"it skills,python,testing,machine learning,artificial intelligence,interpersonal skills,version control,spark",6 Days Ago,1,1,0,0,1,1,0,0
data science product manager- artificial intelligence/machine learning,Catalyst,4-9 Yrs,1200000 - 1900000 PA.,Bangalore,"deep learning,artificial intelligence,machine learning,r,nosql,yolo,vgg,python",14 Days Ago,1,1,0,0,1,0,0,0
senior scientist/ nlp/ machine learning/ data mining professional,Career Maker,2-7 Yrs,600000 - 1400000 PA.,Bangalore,"it skills,java,python,software development,machine learning,c++,r,nlp",13 Days Ago,1,1,0,0,0,1,0,0
python developer with keen interest in machine learning,Harmony Data Integration Technologies,2-7 Yrs,800000 - 1300000 PA.,Mohali,"cloud platform,machine learning,python,javascript,xpath,regex,node js,artificial intelligence",7 Days Ago,1,1,0,0,1,0,0,0
phd/post graduate in machine learning/computational mathematics,DCG Data-Core Systems (India) Pvt. Ltd.,0-0 Yrs,500000 - 500000 PA.,Kolkata,"deep learning,machine learning,lstm,data analysis,synthetic data generation,cnn,pattern recognition,classification algorithm",5 Days Ago,1,0,0,0,0,0,0,1
manager - emtech - machine learning - mc analytics,PwC,7-10 Yrs,2000000 - 2600000 PA.,Mumbai,"machine learning,analytics",8 Days Ago,1,0,0,0,0,0,0,0
machine learning engineer,AERA SOFTWARE TECHNOLOGY PVT LTD,3-7 Yrs,1400000 - 1700000 PA.,Pune,"it skills,python,data science,machine learning,artificial intelligence,devops,big data,docker",6 Days Ago,1,1,1,0,1,1,1,0
